12.407,1.28,632.737,5462.53
14.209,1.489,678.971,7654.85
17.323,1.25,421.663,4446.88
6.758,0.698,341.823,1942.75
12.546,1.185,501.003,2745.26
14.738,1.631,667.551,44474.96
14.31,1.596,765.97,62569.49
25.878,2.17,571.913,6188.6
29.215,2.114,558.878,5501.05
12.126,1.044,497.84,164.69
12.97,1.007,684.269,3200.21
17.932,1.613,601.018,36500.17
21.427,1.584,543.152,27708.87
8.601,0.52,586.428,334.03
27.201,1.595,286.825,36108.67
7.865,0.841,416.594,7057.07
7.655,0.764,473.844,2458.59
20.966,1.33,357.184,13568.14
15.5,1.391,412.877,4276.61
26.866,1.85,553.268,3000.82
17.995,1.649,572.253,26579.83
9.851,1.085,518.78,5083.62
14.014,1.69,1056.053,8746.65
12.057,1.191,497.394,32394.7
12.227,2.068,1162.399,373009.91
18.22,1.187,343.486,451.82
18.33,1.566,500.567,1032.94
26.761,1.542,383.852,759.08
26.784,1.745,504.422,1465.3
22.939,1.286,309.9,44655.62
